Hm0,H3,H10,Hmax,Hmean,Tm02,Tp,Tz,T3,T10,Tmax,DirTp,SprTp,Mdir,unidirectind,mpressure,currentspeed,currentdir,errorcode,datetime,hourly,tenmin
0.25,0.2,0.26,0.35,0.13,2.64,14.93,2.93,4.37,5.55,5.5,313.65,79.67,296.19,0.73,17.531,0.09,332.2,0,2019-10-31T14:32:01Z,2019-10-31T15:00:00Z,2019-10-31T14:30:00Z
0.23,0.19,0.24,0.33,0.12,2.47,13.05,2.86,4.12,5.58,9,270.78,76.9,269.56,0.68,17.557,0.11,330.3,0,2019-10-31T15:32:01Z,2019-10-31T16:00:00Z,2019-10-31T15:30:00Z
0.2,0.16,0.2,0.28,0.1,2.26,8.89,2.56,3.41,4.12,2,284.37,78.55,266.84,0.55,17.616,0.11,336.7,0,2019-10-31T16:32:01Z,2019-10-31T17:00:00Z,2019-10-31T16:30:00Z
0.18,0.14,0.17,0.25,0.09,2.18,9.4,2.55,3.32,4.26,3,245.64,76.47,235.14,0.42,17.942,0.08,326.3,0,2019-10-31T17:32:01Z,2019-10-31T18:00:00Z,2019-10-31T17:30:00Z
0.17,0.14,0.18,0.24,0.09,2.1,13.34,2.45,3.41,4.1,4.5,341.14,79.61,284.31,0.32,18.357,0.08,89.8,0,2019-10-31T18:32:01Z,2019-10-31T19:00:00Z,2019-10-31T18:30:00Z
0.19,0.16,0.21,0.26,0.1,2.8,9.88,3.23,4.92,5.58,5.5,217.55,74.33,256,0.76,18.601,0.19,96.1,0,2019-10-31T19:32:01Z,2019-10-31T20:00:00Z,2019-10-31T19:30:00Z
0.29,0.26,0.32,0.4,0.16,3.2,5.52,3.61,5.32,5.94,5.5,254.63,66.05,283.55,0.73,18.555,0.05,176.8,0,2019-10-31T20:32:01Z,2019-10-31T21:00:00Z,2019-10-31T20:30:00Z
0.27,0.23,0.3,0.37,0.14,2.86,6.65,3.24,4.65,5.93,7.5,331.18,74.54,279.51,0.66,18.354,0.08,242.9,0,2019-10-31T21:32:01Z,2019-10-31T22:00:00Z,2019-10-31T21:30:00Z
0.31,0.27,0.34,0.47,0.17,2.68,4.91,3,3.9,4.54,5.5,252.36,65.53,245.69,0.8,18.18,0.05,256.6,0,2019-10-31T22:32:01Z,2019-10-31T23:00:00Z,2019-10-31T22:30:00Z
0.25,0.21,0.27,0.34,0.14,2.59,11.58,2.98,4.3,5.07,2.5,215.9,76.04,229.98,0.7,18.054,0.05,251.6,0,2019-10-31T23:32:01Z,2019-11-01T00:00:00Z,2019-10-31T23:30:00Z
0.24,0.2,0.26,0.39,0.12,3.23,8.53,3.52,5.26,5.91,6,175.15,69.75,221.08,0.67,17.88,0.05,249.9,0,2019-11-01T00:32:01Z,2019-11-01T01:00:00Z,2019-11-01T00:30:00Z
0.24,0.21,0.26,0.37,0.13,3.96,8.99,4.32,6.18,6.76,5,141.33,73.76,208.25,0.76,17.726,0.28,287.9,0,2019-11-01T01:32:01Z,2019-11-01T02:00:00Z,2019-11-01T01:30:00Z
0.23,0.21,0.26,0.33,0.13,4.77,5.95,5.29,7.1,7,7.5,279.55,65.24,235.63,0.52,17.624,0.33,297,0,2019-11-01T02:32:01Z,2019-11-01T03:00:00Z,2019-11-01T02:30:00Z
0.15,0.13,0.16,0.21,0.08,4.42,13.59,4.74,7.22,8.5,8,322.19,75.56,279.45,0.61,17.59,0.11,334.6,0,2019-11-01T03:32:01Z,2019-11-01T04:00:00Z,2019-11-01T03:30:00Z
0.15,0.13,0.17,0.25,0.08,3.83,8.52,4.23,6.71,7.52,7.5,47.11,75.48,309.78,0.3,17.677,0.12,299.6,0,2019-11-01T04:32:01Z,2019-11-01T05:00:00Z,2019-11-01T04:30:00Z
0.16,0.14,0.19,0.25,0.08,4.18,10.86,4.6,7.45,8.79,11,289.63,73.05,281.28,0.79,17.978,0.09,317.6,0,2019-11-01T05:32:01Z,2019-11-01T06:00:00Z,2019-11-01T05:30:00Z
0.16,0.14,0.19,0.24,0.09,3.82,9.03,4.67,7.52,8.73,9,305.98,70.25,293.42,0.7,18.327,0.14,18.6,0,2019-11-01T06:32:01Z,2019-11-01T07:00:00Z,2019-11-01T06:30:00Z
0.19,0.16,0.21,0.28,0.1,3.61,12.54,4.25,6.81,8.5,10.5,280.43,76.28,255.2,0.67,18.664,0.22,105.9,0,2019-11-01T07:32:01Z,2019-11-01T08:00:00Z,2019-11-01T07:30:00Z
0.23,0.21,0.26,0.38,0.13,3.64,7.89,4.19,6.41,6.79,8.5,159.3,78.38,263.95,0.61,18.782,0.06,122.2,0,2019-11-01T08:32:01Z,2019-11-01T09:00:00Z,2019-11-01T08:30:00Z
0.27,0.22,0.29,0.41,0.14,3.19,10.27,3.7,5.5,6.72,5.5,278.85,77.74,271.12,0.89,18.662,0.04,144.6,0,2019-11-01T09:32:01Z,2019-11-01T10:00:00Z,2019-11-01T09:30:00Z
0.24,0.21,0.27,0.36,0.13,3.39,9.48,4.05,6.31,7.23,9.5,153.47,61.47,193.84,0.6,18.38,0.05,230.6,0,2019-11-01T10:32:01Z,2019-11-01T11:00:00Z,2019-11-01T10:30:00Z
0.22,0.19,0.25,0.31,0.12,3.52,10.02,4.19,6.52,7.31,6.5,202.99,69.18,225.56,0.64,18.175,0.02,268.1,0,2019-11-01T11:32:01Z,2019-11-01T12:00:00Z,2019-11-01T11:30:00Z
0.2,0.18,0.23,0.3,0.1,3.79,9.73,4.18,6.69,7.93,10,177.19,74.89,184.49,0.75,17.987,0.03,240.1,0,2019-11-01T12:32:01Z,2019-11-01T13:00:00Z,2019-11-01T12:30:00Z
0.22,0.19,0.23,0.31,0.12,4.48,9.82,4.75,6.9,7.35,7,226.98,72.1,189.53,0.71,17.812,0.11,266.6,0,2019-11-01T13:32:01Z,2019-11-01T14:00:00Z,2019-11-01T13:30:00Z
0.32,0.29,0.38,0.51,0.19,4.15,5,4.48,5.26,5.75,7,186.82,50.94,199.53,0.65,17.66,0.31,296.5,0,2019-11-01T14:32:01Z,2019-11-01T15:00:00Z,2019-11-01T14:30:00Z
0.22,0.2,0.25,0.32,0.12,3.82,11.9,4.4,6.35,6.47,8.5,125.93,79.71,184.34,0.38,17.602,0.06,324.8,0,2019-11-01T15:32:01Z,2019-11-01T16:00:00Z,2019-11-01T15:30:00Z
0.42,0.38,0.46,0.6,0.24,3.44,4.72,3.56,4.52,4.67,5,183.11,52.25,192.81,0.88,17.65,0.1,335.8,0,2019-11-01T16:32:01Z,2019-11-01T17:00:00Z,2019-11-01T16:30:00Z
0.31,0.27,0.34,0.49,0.17,3.21,4.99,3.5,4.67,4.68,4.5,182.88,51.94,195.92,0.8,17.761,0.14,337,0,2019-11-01T17:32:01Z,2019-11-01T18:00:00Z,2019-11-01T17:30:00Z
0.36,0.32,0.41,0.59,0.2,3.36,5.35,3.65,4.93,5.26,5.5,176.56,50.01,185.06,0.88,18.036,0.1,342.9,0,2019-11-01T18:32:01Z,2019-11-01T19:00:00Z,2019-11-01T18:30:00Z
0.41,0.37,0.46,0.6,0.22,3.23,5.76,3.5,4.91,5.2,5.5,174.08,53.03,176.43,0.92,18.286,0.19,99,0,2019-11-01T19:32:01Z,2019-11-01T20:00:00Z,2019-11-01T19:30:00Z
0.56,0.51,0.68,0.83,0.3,4.23,6.31,4.29,5.89,6.04,6,156.28,33.38,160.52,0.97,18.488,0.07,153,0,2019-11-01T20:32:01Z,2019-11-01T21:00:00Z,2019-11-01T20:30:00Z
0.39,0.36,0.45,0.59,0.22,4.4,6.35,4.74,6.51,6.59,6.5,150.35,51.05,159.38,0.72,18.435,0.02,190.4,0,2019-11-01T21:32:01Z,2019-11-01T22:00:00Z,2019-11-01T21:30:00Z
0.39,0.35,0.47,0.66,0.2,4.14,7.22,4.42,6.63,6.91,6.5,161.29,44.93,173.22,0.86,18.258,0.02,265.5,0,2019-11-01T22:32:01Z,2019-11-01T23:00:00Z,2019-11-01T22:30:00Z
0.36,0.34,0.42,0.52,0.2,4.64,7.85,5.44,7.45,7.5,7,154.65,46.14,159.33,0.93,18.055,0.05,284,0,2019-11-01T23:32:01Z,2019-11-02T00:00:00Z,2019-11-01T23:30:00Z
0.57,0.55,0.68,0.9,0.33,5.05,7.63,5.7,7.33,7.44,7,158.6,38.45,163.64,0.96,17.963,0.04,257.2,0,2019-11-02T00:32:01Z,2019-11-02T01:00:00Z,2019-11-02T00:30:00Z
0.77,0.75,0.96,1.24,0.46,5.27,7.09,5.69,6.92,6.91,7.5,157.64,34.89,156.59,0.97,17.855,0.07,268.5,0,2019-11-02T01:32:01Z,2019-11-02T02:00:00Z,2019-11-02T01:30:00Z
0.79,0.75,0.92,1.1,0.47,5.04,6.63,5.23,6.41,6.55,6.5,159.84,33.08,160.09,0.98,17.751,0.29,298,0,2019-11-02T02:32:01Z,2019-11-02T03:00:00Z,2019-11-02T02:30:00Z
0.55,0.52,0.67,0.95,0.3,4.36,6.74,4.33,5.94,6.23,5.5,166.15,44.33,173.03,0.91,17.722,0.25,303.2,0,2019-11-02T03:32:01Z,2019-11-02T04:00:00Z,2019-11-02T03:30:00Z
0.57,0.52,0.68,0.85,0.32,3.72,6.62,4.09,5.59,6.16,6.5,191.62,47.3,183.59,0.95,17.732,0.11,304.7,0,2019-11-02T04:32:01Z,2019-11-02T05:00:00Z,2019-11-02T04:30:00Z
0.6,0.55,0.68,0.87,0.34,3.49,7.05,3.88,5.12,5.4,6,177.51,41.61,182.51,0.88,17.817,0.16,333.5,0,2019-11-02T05:32:01Z,2019-11-02T06:00:00Z,2019-11-02T05:30:00Z
0.56,0.51,0.66,0.94,0.31,3.65,7.07,3.84,5.61,6.05,6,186.5,42.96,184.94,0.94,18.075,0.08,312,0,2019-11-02T06:32:01Z,2019-11-02T07:00:00Z,2019-11-02T06:30:00Z
0.58,0.52,0.65,1.11,0.32,3.44,6.68,3.71,5.2,5.37,6.5,173.64,40,181.44,0.95,18.355,0.06,76.3,0,2019-11-02T07:32:01Z,2019-11-02T08:00:00Z,2019-11-02T07:30:00Z
0.95,0.9,1.13,1.48,0.54,4.48,7.57,4.77,6.63,6.73,7.5,172.76,34.91,173.62,0.99,18.587,0.18,106,0,2019-11-02T08:32:01Z,2019-11-02T09:00:00Z,2019-11-02T08:30:00Z
0.74,0.7,0.88,1.14,0.42,4.34,7.68,4.73,6.61,6.71,7,168.83,35.92,170.5,0.98,18.67,0.04,148.4,0,2019-11-02T09:32:01Z,2019-11-02T10:00:00Z,2019-11-02T09:30:00Z
0.69,0.65,0.78,0.95,0.38,4.78,7.77,5.19,7.14,7.13,7.5,152.04,31.05,156.88,0.98,18.549,0.05,214.7,0,2019-11-02T10:32:01Z,2019-11-02T11:00:00Z,2019-11-02T10:30:00Z
0.75,0.71,0.85,1.08,0.42,4.91,7.89,5.51,7.59,7.36,7,172.27,37.15,173,0.95,18.333,0.03,253.2,0,2019-11-02T11:32:01Z,2019-11-02T12:00:00Z,2019-11-02T11:30:00Z
0.79,0.74,0.98,1.14,0.42,5.59,8.53,5.76,8.03,7.97,8,163.61,26.28,164.24,0.98,18.148,0.01,124.6,0,2019-11-02T12:32:01Z,2019-11-02T13:00:00Z,2019-11-02T12:30:00Z
0.86,0.84,1.05,1.2,0.5,5.48,8.14,5.95,7.53,7.82,7.5,158.85,34.11,159.61,0.97,18.026,0.04,240.2,0,2019-11-02T13:32:01Z,2019-11-02T14:00:00Z,2019-11-02T13:30:00Z
1.03,1,1.21,1.51,0.64,5.45,7.94,6.27,7.47,7.34,6.5,161.09,31.88,165.03,0.98,17.834,0.15,281.4,0,2019-11-02T14:32:01Z,2019-11-02T15:00:00Z,2019-11-02T14:30:00Z
0.67,0.64,0.78,1.04,0.38,4.26,7.17,4.53,5.98,5.95,6,178.2,45.85,176.54,0.98,17.766,0.28,298.5,0,2019-11-02T15:32:01Z,2019-11-02T16:00:00Z,2019-11-02T15:30:00Z
0.7,0.66,0.83,0.96,0.38,4.1,7.85,4.5,6.74,7.52,8.5,183.79,36.6,180.65,0.97,17.745,0.05,317.7,0,2019-11-02T16:32:01Z,2019-11-02T17:00:00Z,2019-11-02T16:30:00Z
0.97,0.87,1.05,1.37,0.56,3.9,8.35,4.18,5.47,6.18,4,176.98,48.78,180.93,0.97,17.768,0.14,349.7,0,2019-11-02T17:32:01Z,2019-11-02T18:00:00Z,2019-11-02T17:30:00Z
0.9,0.83,1.03,1.22,0.51,4.14,8.47,4.73,6.87,7.11,8,175.95,37.68,177.99,0.98,17.89,0.12,337.8,0,2019-11-02T18:32:01Z,2019-11-02T19:00:00Z,2019-11-02T18:30:00Z
0.9,0.82,1.04,1.47,0.51,4.12,8.54,4.5,6.37,6.54,7.5,174.69,41.98,171.57,0.96,18.097,0.05,312.7,0,2019-11-02T19:32:01Z,2019-11-02T20:00:00Z,2019-11-02T19:30:00Z
1,0.94,1.19,1.47,0.58,4.55,8.59,5.2,7.15,7.31,6.5,161.88,45.42,167.67,0.97,18.281,0.07,99.9,0,2019-11-02T20:32:01Z,2019-11-02T21:00:00Z,2019-11-02T20:30:00Z
1.24,1.13,1.43,2.09,0.68,5.37,8.99,5.55,7.81,8,7.5,167.44,25.93,168.14,0.99,18.382,0.2,101.8,0,2019-11-02T21:32:01Z,2019-11-02T22:00:00Z,2019-11-02T21:30:00Z
1.07,1,1.31,1.51,0.62,5.67,9.17,6.05,7.83,8.34,8.5,166.42,31.26,158.18,0.98,18.365,0.06,169,0,2019-11-02T22:32:01Z,2019-11-02T23:00:00Z,2019-11-02T22:30:00Z
0.64,0.59,0.72,0.81,0.35,4.26,9.81,5.26,8.06,8.71,9.5,166.55,43.99,173.75,0.92,18.211,0.08,261.3,0,2019-11-02T23:32:01Z,2019-11-03T00:00:00Z,2019-11-02T23:30:00Z
1.13,1.06,1.31,1.63,0.64,6.09,9.1,6.76,8.85,8.63,8.5,163.04,40.09,162.17,0.97,18.063,0.05,153.3,0,2019-11-03T00:32:01Z,2019-11-03T01:00:00Z,2019-11-03T00:30:00Z
1.42,1.36,1.7,2.4,0.82,6.5,9.48,7.19,9.31,9.14,9,160.23,27.94,159.23,0.97,17.959,0.05,250.1,0,2019-11-03T01:32:01Z,2019-11-03T02:00:00Z,2019-11-03T01:30:00Z
1.4,1.37,1.7,2.39,0.87,6.23,9.17,7.15,8.8,8.75,7,166.49,37.77,164.41,0.97,17.9,0.05,265.4,0,2019-11-03T02:32:01Z,2019-11-03T03:00:00Z,2019-11-03T02:30:00Z
1.31,1.24,1.58,2.38,0.75,5.79,8.98,5.92,7.76,8.32,7.5,173.77,37.35,169.48,0.97,17.821,0.21,284.3,0,2019-11-03T03:32:01Z,2019-11-03T04:00:00Z,2019-11-03T03:30:00Z
1,0.93,1.17,1.34,0.58,4.94,6.53,5.25,6.41,6.89,6.5,173.32,36.25,174.54,0.96,17.831,0.25,295.7,0,2019-11-03T04:32:01Z,2019-11-03T05:00:00Z,2019-11-03T04:30:00Z
0.83,0.75,0.98,1.34,0.44,4.9,9.31,5.25,8.44,9,9,173.22,33.94,177.02,0.96,17.875,0.1,321.4,0,2019-11-03T05:32:01Z,2019-11-03T06:00:00Z,2019-11-03T05:30:00Z
1.44,1.35,1.69,2.36,0.84,4.96,9.28,5.45,7.14,7.38,7.5,181.21,31.06,179.22,0.99,17.99,0.03,11.9,0,2019-11-03T06:32:01Z,2019-11-03T07:00:00Z,2019-11-03T06:30:00Z
0.92,0.83,1.02,1.37,0.53,4.06,9.39,4.6,6.67,7.56,8.5,174.04,41.29,175.39,0.96,18.192,0.07,313.5,0,2019-11-03T07:32:01Z,2019-11-03T08:00:00Z,2019-11-03T07:30:00Z
0.93,0.88,1.12,1.48,0.52,4.67,9.23,5.26,8.02,8.42,9,171.48,30.79,173.71,0.98,18.385,0.04,122.3,0,2019-11-03T08:32:01Z,2019-11-03T09:00:00Z,2019-11-03T08:30:00Z
1.23,1.16,1.4,1.65,0.73,5.36,8.76,5.83,7.79,7.94,7.5,170.33,29.65,170.8,0.98,18.534,0.15,95.3,0,2019-11-03T09:32:01Z,2019-11-03T10:00:00Z,2019-11-03T09:30:00Z
1.16,1.11,1.34,1.56,0.69,5.59,9.9,6.36,8.55,8.65,10,171.1,31.5,166.1,0.98,18.593,0.06,171.7,0,2019-11-03T10:32:01Z,2019-11-03T11:00:00Z,2019-11-03T10:30:00Z
0.94,0.88,1.08,1.26,0.55,5.39,7.45,6.1,7.69,8.21,8,151.83,34.32,162.73,0.95,18.447,0.02,235.9,0,2019-11-03T11:32:01Z,2019-11-03T12:00:00Z,2019-11-03T11:30:00Z
0.96,0.92,1.2,1.72,0.53,5.76,8.11,6.14,8.34,8.12,8.5,164.17,38.55,166.59,0.97,18.305,0.01,188.3,0,2019-11-03T12:32:01Z,2019-11-03T13:00:00Z,2019-11-03T12:30:00Z
1.1,1.04,1.37,1.8,0.63,6.03,8.79,6.45,8.48,8.8,8.5,157.82,35.27,155.72,0.97,18.131,0.02,290.3,0,2019-11-03T13:32:01Z,2019-11-03T14:00:00Z,2019-11-03T13:30:00Z
1.15,1.08,1.3,1.54,0.65,6.06,9.01,6.32,8.22,8.28,8,164.08,28.39,164.92,0.98,18.041,0.02,219.1,0,2019-11-03T14:32:01Z,2019-11-03T15:00:00Z,2019-11-03T14:30:00Z
1.24,1.19,1.5,1.74,0.75,5.86,8.36,6.4,7.81,7.86,8,172.27,28.72,165.87,0.98,17.898,0.16,291.8,0,2019-11-03T15:32:01Z,2019-11-03T16:00:00Z,2019-11-03T15:30:00Z
1,0.95,1.18,1.51,0.58,5.24,7.56,5.64,7.12,6.94,6.5,170.6,38.51,171.47,0.99,17.827,0.25,297,0,2019-11-03T16:32:01Z,2019-11-03T17:00:00Z,2019-11-03T16:30:00Z
0.53,0.5,0.62,0.77,0.3,4.26,9.5,5.02,7.27,7.92,7,180.11,45.07,177.47,0.95,17.833,0.14,313.9,0,2019-11-03T17:32:01Z,2019-11-03T18:00:00Z,2019-11-03T17:30:00Z
1.31,1.24,1.55,2.34,0.76,5.6,9.14,6.03,8.1,8.37,8.5,177.41,29.78,178.29,0.98,17.824,0.13,328.4,0,2019-11-03T18:32:01Z,2019-11-03T19:00:00Z,2019-11-03T18:30:00Z
0.82,0.72,0.9,1.26,0.48,3.61,8.8,3.99,5.28,5.86,8,177.26,40.47,183.28,0.97,17.882,0.03,16.9,0,2019-11-03T19:32:01Z,2019-11-03T20:00:00Z,2019-11-03T19:30:00Z
0.71,0.66,0.81,0.96,0.41,4.23,8.94,4.69,6.85,7.78,9,172.71,34.68,177.16,0.96,18.059,0.09,300.4,0,2019-11-03T20:32:01Z,2019-11-03T21:00:00Z,2019-11-03T20:30:00Z
0.88,0.8,1.01,1.37,0.48,4.43,9.35,4.49,6.26,7.09,9,182.03,40.39,176.45,0.98,18.176,0.08,106.5,0,2019-11-03T21:32:01Z,2019-11-03T22:00:00Z,2019-11-03T21:30:00Z
1.06,1.02,1.31,1.95,0.63,5.38,8.88,6,7.69,7.44,8,168.87,28.47,164.78,0.97,18.252,0.16,98.9,0,2019-11-03T22:32:01Z,2019-11-03T23:00:00Z,2019-11-03T22:30:00Z
1.14,1.08,1.36,1.55,0.67,6.19,10.11,6.47,8.04,8.03,8.5,168.81,28.48,160.62,0.98,18.231,0.02,293.9,0,2019-11-03T23:32:01Z,2019-11-04T00:00:00Z,2019-11-03T23:30:00Z
0.73,0.67,0.84,1.01,0.41,5.33,10.05,5.68,7.74,8,6.5,173.66,41.56,171,0.95,18.159,0.03,252.2,0,2019-11-04T00:32:01Z,2019-11-04T01:00:00Z,2019-11-04T00:30:00Z
0.56,0.52,0.65,0.93,0.3,5.16,6.81,5.34,7.65,7.47,8,173.41,47.37,172.47,0.96,18.031,0.01,306.1,0,2019-11-04T01:32:01Z,2019-11-04T02:00:00Z,2019-11-04T01:30:00Z
0.92,0.88,1.2,1.62,0.52,5.7,7.97,6.13,8,7.78,9,165.77,35.29,165.6,0.97,17.986,0.02,245.2,0,2019-11-04T02:32:01Z,2019-11-04T03:00:00Z,2019-11-04T02:30:00Z
0.9,0.87,1.05,1.4,0.5,5.55,8.09,5.71,7.69,7.85,7,169.35,35.82,165.58,0.97,17.915,0.04,278.9,0,2019-11-04T03:32:01Z,2019-11-04T04:00:00Z,2019-11-04T03:30:00Z
0.86,0.81,1.03,1.28,0.49,5.28,7.5,5.44,6.74,6.61,6,172.4,34.39,169.41,0.97,17.889,0.12,280.5,0,2019-11-04T04:32:01Z,2019-11-04T05:00:00Z,2019-11-04T04:30:00Z
0.77,0.71,0.88,1.14,0.47,4.89,5.79,5.49,6.27,6,6.5,178.47,35.98,172.05,0.97,17.898,0.23,295,0,2019-11-04T05:32:01Z,2019-11-04T06:00:00Z,2019-11-04T05:30:00Z
0.38,0.34,0.46,0.63,0.22,4.65,9.61,5.06,6.75,7.69,9.5,175.85,53.33,181.95,0.93,17.958,0.07,307.1,0,2019-11-04T06:32:01Z,2019-11-04T07:00:00Z,2019-11-04T06:30:00Z
0.55,0.5,0.63,0.87,0.32,4.24,9.28,4.62,6.12,6.88,4.5,203.05,49.91,181.1,0.91,18.054,0.03,341.4,0,2019-11-04T07:32:01Z,2019-11-04T08:00:00Z,2019-11-04T07:30:00Z
0.69,0.62,0.74,0.95,0.4,4.12,8.75,4.46,5.99,6.38,8,181.32,43.64,172.28,0.94,18.18,0.07,19.9,0,2019-11-04T08:32:01Z,2019-11-04T09:00:00Z,2019-11-04T08:30:00Z
0.64,0.6,0.74,0.9,0.37,4.57,9.05,4.94,6.94,7.09,5.5,174.47,39.37,171.4,0.99,18.332,0.05,73.1,0,2019-11-04T09:32:01Z,2019-11-04T10:00:00Z,2019-11-04T09:30:00Z
0.75,0.69,0.86,1.16,0.43,4.73,9.14,5.22,7,7.07,8,170.47,39.19,167.97,0.98,18.461,0.09,108.4,0,2019-11-04T10:32:01Z,2019-11-04T11:00:00Z,2019-11-04T10:30:00Z
0.7,0.64,0.78,1.09,0.4,4.99,9.02,5.48,7.2,7.41,9,161.57,42.27,162.41,0.97,18.519,0.05,110,0,2019-11-04T11:32:01Z,2019-11-04T12:00:00Z,2019-11-04T11:30:00Z
0.52,0.46,0.61,0.85,0.27,4.65,10.33,4.88,7.09,7.9,9,175.22,47.85,163.4,0.93,18.455,0.02,220.7,0,2019-11-04T12:32:01Z,2019-11-04T13:00:00Z,2019-11-04T12:30:00Z
0.61,0.56,0.73,1.02,0.33,4.42,6.35,4.58,6.62,6.84,6.5,164.04,45.44,166.63,0.95,18.372,0.09,295.4,0,2019-11-04T13:32:01Z,2019-11-04T14:00:00Z,2019-11-04T13:30:00Z
0.58,0.56,0.7,1,0.32,4.7,7.21,5.07,6.85,7.07,7,152.16,43.19,164.8,0.96,18.244,0.02,36.2,0,2019-11-04T14:32:01Z,2019-11-04T15:00:00Z,2019-11-04T14:30:00Z
0.87,0.82,1,1.15,0.5,5.49,8.29,5.86,7.52,7.67,7,163.17,33.35,162.07,0.98,18.125,0.03,282.8,0,2019-11-04T15:32:01Z,2019-11-04T16:00:00Z,2019-11-04T15:30:00Z
0.72,0.7,0.89,1.1,0.44,5.01,7.31,5.78,6.98,7.11,6.5,167.16,41.5,167.22,0.96,18.037,0.06,276.5,0,2019-11-04T16:32:01Z,2019-11-04T17:00:00Z,2019-11-04T16:30:00Z
0.62,0.58,0.7,0.8,0.37,4.51,7.12,5,6.61,6.44,5.5,173.75,42.23,177.43,0.97,17.969,0.25,291.4,0,2019-11-04T17:32:01Z,2019-11-04T18:00:00Z,2019-11-04T17:30:00Z
0.32,0.29,0.36,0.6,0.18,3.94,4.49,4.1,5.29,5.41,6,172.84,61.49,201.34,0.83,17.944,0.25,300.3,0,2019-11-04T18:32:01Z,2019-11-04T19:00:00Z,2019-11-04T18:30:00Z
0.47,0.45,0.54,0.77,0.26,5.01,9.02,5.51,8.09,8.61,8,174.52,46.76,180.03,0.95,17.918,0.09,294.1,0,2019-11-04T19:32:01Z,2019-11-04T20:00:00Z,2019-11-04T19:30:00Z
0.56,0.52,0.65,0.87,0.32,4.28,8.62,4.55,6.32,6.59,5.5,188.03,45.6,179.17,0.95,17.952,0.08,41.4,0,2019-11-04T20:32:01Z,2019-11-04T21:00:00Z,2019-11-04T20:30:00Z
0.44,0.4,0.5,0.63,0.25,4.07,8.76,4.49,6.48,7.11,7.5,182.83,44.51,181.87,0.89,18.041,0.05,356.8,0,2019-11-04T21:32:01Z,2019-11-04T22:00:00Z,2019-11-04T21:30:00Z
0.47,0.44,0.57,0.78,0.26,4.43,7.07,4.74,6.85,6.97,7.5,168.57,46.98,173.42,0.94,18.148,0.04,58.3,0,2019-11-04T22:32:01Z,2019-11-04T23:00:00Z,2019-11-04T22:30:00Z
0.53,0.5,0.61,0.74,0.32,4.97,8.78,5.73,7.43,7.64,8.5,169.25,45.67,170.44,0.98,18.231,0.13,101.2,0,2019-11-04T23:32:01Z,2019-11-05T00:00:00Z,2019-11-04T23:30:00Z
0.5,0.47,0.62,0.73,0.27,5.31,8.58,5.51,7.95,8,8.5,154.98,41.01,158.26,0.94,18.259,0.1,102.3,0,2019-11-05T00:32:01Z,2019-11-05T01:00:00Z,2019-11-05T00:30:00Z
0.47,0.43,0.53,0.66,0.26,4.93,7.15,5.27,7.57,7.63,8,149.2,42.51,159.93,0.93,18.244,0.03,67.2,0,2019-11-05T01:32:01Z,2019-11-05T02:00:00Z,2019-11-05T01:30:00Z
0.33,0.3,0.38,0.5,0.17,3.67,6.22,4.07,6.24,7.13,7,146.24,53.18,171.2,0.86,18.119,0.06,252.5,0,2019-11-05T02:32:01Z,2019-11-05T03:00:00Z,2019-11-05T02:30:00Z
0.37,0.33,0.44,0.66,0.2,4.15,6.95,4.66,6.71,7.09,7,181.38,49.74,186.77,0.81,18.05,0.04,325.6,0,2019-11-05T03:32:01Z,2019-11-05T04:00:00Z,2019-11-05T03:30:00Z
0.54,0.5,0.66,0.86,0.3,5.1,7.06,5.24,6.66,6.63,8,171.9,40.59,167.9,0.97,17.991,0.03,258.1,0,2019-11-05T04:32:01Z,2019-11-05T05:00:00Z,2019-11-05T04:30:00Z
0.54,0.49,0.61,0.8,0.3,4.72,7.19,5.04,6.73,6.84,6.5,164.14,48.57,173.16,0.9,17.951,0.07,281.1,0,2019-11-05T05:32:01Z,2019-11-05T06:00:00Z,2019-11-05T05:30:00Z
0.44,0.41,0.52,0.67,0.26,4.34,5.99,4.76,5.95,6.19,5,179.81,48.97,170.74,0.88,17.959,0.22,289.7,0,2019-11-05T06:32:01Z,2019-11-05T07:00:00Z,2019-11-05T06:30:00Z
0.3,0.25,0.32,0.42,0.16,4.38,14.65,4.51,6.42,8.4,9.5,249.12,70.38,217.15,0.84,17.985,0.21,298,0,2019-11-05T07:32:01Z,2019-11-05T08:00:00Z,2019-11-05T07:30:00Z
0.33,0.28,0.37,0.49,0.17,4.51,14.12,4.73,7.09,8.95,9.5,231.55,74.76,206.17,0.89,18.047,0.03,113.3,0,2019-11-05T08:32:01Z,2019-11-05T09:00:00Z,2019-11-05T08:30:00Z
0.41,0.37,0.47,0.57,0.22,5.04,14.27,5.5,7.96,9.25,10,271.28,72.88,200.49,0.73,18.15,0.03,347.3,0,2019-11-05T09:32:01Z,2019-11-05T10:00:00Z,2019-11-05T09:30:00Z
0.41,0.36,0.46,0.57,0.22,3.95,14.48,4.31,6.46,8.39,9,232.83,76.6,187.87,0.74,18.263,0.05,85.9,0,2019-11-05T10:32:01Z,2019-11-05T11:00:00Z,2019-11-05T10:30:00Z
0.43,0.38,0.49,0.6,0.23,4.36,12.48,4.84,7.44,8.78,10,260.82,71.69,228.08,0.5,18.381,0.12,87.3,0,2019-11-05T11:32:01Z,2019-11-05T12:00:00Z,2019-11-05T11:30:00Z
