Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
1.948,18.3,320,14.9,16.4,18,324,1.05,1.909,18.3,320,0.322,6.7,156,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T12:15:00Z,2020-01-14T12:00:00Z,2020-01-14T12:10:00Z
1.967,14.2,254,5.6,7.5,11.7,271,1.08,1.6,14.2,254,1.102,5.6,162,2.043,11.8,2.526,12.5,3.126,13,2020-01-12T13:00:00Z,2020-01-12T13:00:00Z,2020-01-12T13:00:00Z
1.967,14.2,254,5.6,7.5,11.7,271,1.08,1.6,14.2,254,1.102,5.6,162,2.043,11.8,2.526,12.5,3.126,13,2020-01-12T13:05:00Z,2020-01-12T13:00:00Z,2020-01-12T13:00:00Z
1.967,14.2,254,5.6,7.5,11.7,271,1.08,1.6,14.2,254,1.102,5.6,162,2.043,11.8,2.526,12.5,3.126,13,2020-01-12T13:10:00Z,2020-01-12T13:00:00Z,2020-01-12T13:10:00Z
1.967,14.2,254,5.6,7.5,11.7,271,1.08,1.6,14.2,254,1.102,5.6,162,2.043,11.8,2.526,12.5,3.126,13,2020-01-12T13:15:00Z,2020-01-12T13:00:00Z,2020-01-12T13:10:00Z
1.993,14.2,254,6.5,8.2,11.7,276,1.03,1.666,14.2,254,1.049,6.7,266,1.935,11.8,2.366,12,2.885,12.5,2019-12-30T02:00:00Z,2019-12-30T02:00:00Z,2019-12-30T02:00:00Z
1.993,14.2,254,6.5,8.2,11.7,276,1.03,1.666,14.2,254,1.049,6.7,266,1.935,11.8,2.366,12,2.885,12.5,2019-12-30T02:05:00Z,2019-12-30T02:00:00Z,2019-12-30T02:00:00Z
1.993,14.2,254,6.5,8.2,11.7,276,1.03,1.666,14.2,254,1.049,6.7,266,1.935,11.8,2.366,12,2.885,12.5,2019-12-30T02:10:00Z,2019-12-30T02:00:00Z,2019-12-30T02:10:00Z
1.993,14.2,254,6.5,8.2,11.7,276,1.03,1.666,14.2,254,1.049,6.7,266,1.935,11.8,2.366,12,2.885,12.5,2019-12-30T02:15:00Z,2019-12-30T02:00:00Z,2019-12-30T02:10:00Z
1.995,14.2,246,7.3,9.1,13,263,1.07,1.659,14.2,246,1.053,5.1,299,1.776,12,2.177,14.3,2.84,15.5,2020-01-03T19:00:00Z,2020-01-03T19:00:00Z,2020-01-03T19:00:00Z
1.995,14.2,246,7.3,9.1,13,263,1.07,1.659,14.2,246,1.053,5.1,299,1.776,12,2.177,14.3,2.84,15.5,2020-01-03T19:05:00Z,2020-01-03T19:00:00Z,2020-01-03T19:00:00Z
1.995,14.2,246,7.3,9.1,13,263,1.07,1.659,14.2,246,1.053,5.1,299,1.776,12,2.177,14.3,2.84,15.5,2020-01-03T19:10:00Z,2020-01-03T19:00:00Z,2020-01-03T19:10:00Z
1.995,14.2,246,7.3,9.1,13,263,1.07,1.659,14.2,246,1.053,5.1,299,1.776,12,2.177,14.3,2.84,15.5,2020-01-03T19:15:00Z,2020-01-03T19:00:00Z,2020-01-03T19:10:00Z
1.996,14.2,266,5.3,7,11.1,287,1.07,1.592,14.2,266,1.153,4.7,282,1.845,8.4,2.409,11.3,3.147,13.5,2020-01-20T21:00:00Z,2020-01-20T21:00:00Z,2020-01-20T21:00:00Z
1.996,14.2,266,5.3,7,11.1,287,1.07,1.592,14.2,266,1.153,4.7,282,1.845,8.4,2.409,11.3,3.147,13.5,2020-01-20T21:05:00Z,2020-01-20T21:00:00Z,2020-01-20T21:00:00Z
1.996,14.2,266,5.3,7,11.1,287,1.07,1.592,14.2,266,1.153,4.7,282,1.845,8.4,2.409,11.3,3.147,13.5,2020-01-20T21:10:00Z,2020-01-20T21:00:00Z,2020-01-20T21:10:00Z
