Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
1.715,14.2,254,7.5,9.7,12.9,278,1.09,1.545,14.2,254,0.711,6.7,262,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-21T16:05:00Z,2020-01-21T16:00:00Z,2020-01-21T16:00:00Z
1.715,14.2,254,7.5,9.7,12.9,278,1.09,1.545,14.2,254,0.711,6.7,262,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-21T16:10:00Z,2020-01-21T16:00:00Z,2020-01-21T16:10:00Z
1.715,14.2,254,7.5,9.7,12.9,278,1.09,1.545,14.2,254,0.711,6.7,262,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-21T16:15:00Z,2020-01-21T16:00:00Z,2020-01-21T16:10:00Z
1.718,14.2,265,8.2,10.6,13.9,260,1.05,1.57,14.2,265,0.634,6.7,283,1.877,14.3,2.237,14.4,2.746,13,2019-12-05T13:00:00Z,2019-12-05T13:00:00Z,2019-12-05T13:00:00Z
1.718,14.2,265,8.2,10.6,13.9,260,1.05,1.57,14.2,265,0.634,6.7,283,1.877,14.3,2.237,14.4,2.746,13,2019-12-05T13:05:00Z,2019-12-05T13:00:00Z,2019-12-05T13:00:00Z
1.718,14.2,265,8.2,10.6,13.9,260,1.05,1.57,14.2,265,0.634,6.7,283,1.877,14.3,2.237,14.4,2.746,13,2019-12-05T13:10:00Z,2019-12-05T13:00:00Z,2019-12-05T13:10:00Z
1.718,14.2,265,8.2,10.6,13.9,260,1.05,1.57,14.2,265,0.634,6.7,283,1.877,14.3,2.237,14.4,2.746,13,2019-12-05T13:15:00Z,2019-12-05T13:00:00Z,2019-12-05T13:10:00Z
1.719,14.2,249,6.8,8.6,12.2,260,1.05,1.448,14.2,249,0.857,6.7,242,1.809,13.9,2.115,14.1,2.456,14.5,2020-01-11T07:00:00Z,2020-01-11T07:00:00Z,2020-01-11T07:00:00Z
1.719,14.2,249,6.8,8.6,12.2,260,1.05,1.448,14.2,249,0.857,6.7,242,1.809,13.9,2.115,14.1,2.456,14.5,2020-01-11T07:05:00Z,2020-01-11T07:00:00Z,2020-01-11T07:00:00Z
1.719,14.2,249,6.8,8.6,12.2,260,1.05,1.448,14.2,249,0.857,6.7,242,1.809,13.9,2.115,14.1,2.456,14.5,2020-01-11T07:10:00Z,2020-01-11T07:00:00Z,2020-01-11T07:10:00Z
1.719,14.2,249,6.8,8.6,12.2,260,1.05,1.448,14.2,249,0.857,6.7,242,1.809,13.9,2.115,14.1,2.456,14.5,2020-01-11T07:15:00Z,2020-01-11T07:00:00Z,2020-01-11T07:10:00Z
1.725,14.2,266,5,6.5,11.2,281,1.08,1.33,14.2,266,1.08,3,299,1.643,10.3,2.039,11.6,2.535,14,2020-01-20T11:00:00Z,2020-01-20T11:00:00Z,2020-01-20T11:00:00Z
1.725,14.2,266,5,6.5,11.2,281,1.08,1.33,14.2,266,1.08,3,299,1.643,10.3,2.039,11.6,2.535,14,2020-01-20T11:05:00Z,2020-01-20T11:00:00Z,2020-01-20T11:00:00Z
