time,depth,Sv
2019-12-18 21:44:39,0.0,-74.42807929103489
2019-12-18 21:44:39,0.165,-79.3026118182459
2019-12-18 21:44:39,0.33,-83.57798300991783
2019-12-18 21:44:39,0.49500000000000005,-86.60427086864664
2019-12-18 21:44:39,0.66,-86.29323450756728
2019-12-18 21:44:39,0.8250000000000001,-86.06360542473203
2019-12-18 21:44:39,0.9900000000000001,-86.65111406813203
2019-12-18 21:44:39,1.155,-85.89421210676068
2019-12-18 21:44:39,1.32,-84.45106084765646
2019-12-18 21:44:39,1.485,-85.42043216890801
2019-12-18 21:44:39,1.6500000000000001,-84.76252737549258
2019-12-18 21:44:39,1.8150000000000002,-85.36433756696718
2019-12-18 21:44:39,1.9800000000000002,-84.80907244923861
2019-12-18 21:44:39,2.145,-84.98556243002807
2019-12-18 21:44:39,2.31,-84.87880110476667
2019-12-18 21:44:39,2.475,-84.01007843297252
2019-12-18 21:44:39,2.64,-84.36774970831159
2019-12-18 21:44:39,2.805,-85.15861588631567
2019-12-18 21:44:39,2.97,-85.37639189146975
2019-12-18 21:44:39,3.1350000000000002,-84.28866778544491
2019-12-18 21:44:39,3.3000000000000003,-83.64747349667198
2019-12-18 21:44:39,3.4650000000000003,-83.67878680868179
2019-12-18 21:44:39,3.6300000000000003,-83.60905502660583
2019-12-18 21:44:39,3.7950000000000004,-82.75742611552519
2019-12-18 21:44:39,3.9600000000000004,-82.54360956431233
2019-12-18 21:44:39,4.125,-82.20875414335464
2019-12-18 21:44:39,4.29,-82.54682344531928
2019-12-18 21:44:39,4.455,-82.59349710981702
2019-12-18 21:44:39,4.62,-82.77676308756556
2019-12-18 21:44:39,4.785,-82.5522937427619
2019-12-18 21:44:39,4.95,-82.50727927403216
2019-12-18 21:44:39,5.115,-82.90314758367712
2019-12-18 21:44:39,5.28,-82.42166948588653
2019-12-18 21:44:39,5.445,-81.9597320797414
2019-12-18 21:44:39,5.61,-82.50749474512232
2019-12-18 21:44:39,5.775,-82.89837343927942
2019-12-18 21:44:39,5.94,-82.7673209958462
2019-12-18 21:44:39,6.105,-82.46158965609575
2019-12-18 21:44:39,6.2700000000000005,-83.18439268378512
2019-12-18 21:44:39,6.4350000000000005,-84.11499714658062
2019-12-18 21:44:39,6.6000000000000005,-83.70152418921721
2019-12-18 21:44:39,6.765000000000001,-82.77948734252152
2019-12-18 21:44:39,6.930000000000001,-83.14856083283935
2019-12-18 21:44:39,7.095000000000001,-83.16823025082795
2019-12-18 21:44:39,7.260000000000001,-82.69958732158499
2019-12-18 21:44:39,7.425000000000001,-83.32807131185413
2019-12-18 21:44:39,7.590000000000001,-82.91585880386732
2019-12-18 21:44:39,7.755000000000001,-83.86315216570017
2019-12-18 21:44:39,7.920000000000001,-84.01786514611665
2019-12-18 21:44:39,8.085,-83.41060021503645
2019-12-18 21:44:39,8.25,-82.65178016797877
2019-12-18 21:44:39,8.415000000000001,-82.1983624315172
2019-12-18 21:44:39,8.58,-83.8904592719658
2019-12-18 21:44:39,8.745000000000001,-83.56885558417552
2019-12-18 21:44:39,8.91,-84.07978993770914
2019-12-18 21:44:39,9.075000000000001,-83.33223262559295
2019-12-18 21:44:39,9.24,-83.66045295214882
2019-12-18 21:44:39,9.405000000000001,-83.82562761512074
2019-12-18 21:44:39,9.57,-83.17340804758877
2019-12-18 21:44:39,9.735000000000001,-83.44283776964573
2019-12-18 21:44:39,9.9,-82.96005810152329
2019-12-18 21:44:39,10.065000000000001,-82.21290608227929
2019-12-18 21:44:39,10.23,-82.73023848533552
2019-12-18 21:44:39,10.395000000000001,-84.03175244983893
2019-12-18 21:44:39,10.56,-84.73569041261818
2019-12-18 21:44:39,10.725000000000001,-84.0196713622248
2019-12-18 21:44:39,10.89,-84.64182706263907
2019-12-18 21:44:39,11.055000000000001,-83.99699132144218
2019-12-18 21:44:39,11.22,-83.4025613812552
2019-12-18 21:44:39,11.385000000000002,-83.23544705346306
2019-12-18 21:44:39,11.55,-84.98335498939782
2019-12-18 21:44:39,11.715000000000002,-84.95729573968475
2019-12-18 21:44:39,11.88,-85.10329401284304
2019-12-18 21:44:39,12.045000000000002,-83.71876341376529
2019-12-18 21:44:39,12.21,-85.20623982500112
2019-12-18 21:44:39,12.375000000000002,-84.69968674040246
2019-12-18 21:44:39,12.540000000000001,-82.4836590726734
2019-12-18 21:44:39,12.705000000000002,-82.59709525960567
2019-12-18 21:44:39,12.870000000000001,-83.28879586705433
2019-12-18 21:44:39,13.035,-82.32478549480655
2019-12-18 21:44:39,13.200000000000001,-83.61514449130324
2019-12-18 21:44:39,13.365,-84.76248532786263
2019-12-18 21:44:39,13.530000000000001,-83.61628009964247
2019-12-18 21:44:39,13.695,-83.47262620030847
2019-12-18 21:44:39,13.860000000000001,-84.65107180438274
2019-12-18 21:44:39,14.025,-84.36780289194098
2019-12-18 21:44:39,14.190000000000001,-84.66114606303093
2019-12-18 21:44:39,14.355,-84.44685709250017
2019-12-18 21:44:39,14.520000000000001,-83.67307855468627
2019-12-18 21:44:39,14.685,-82.74145524163869
2019-12-18 21:44:39,14.850000000000001,-83.12682568893356
2019-12-18 21:44:39,15.015,-84.30905640707472
2019-12-18 21:44:39,15.180000000000001,-84.77140120107038
2019-12-18 21:44:39,15.345,-86.20480534802711
2019-12-18 21:44:39,15.510000000000002,-85.59692122952072
2019-12-18 21:44:39,15.675,-85.61452259655196
2019-12-18 21:44:39,15.840000000000002,-85.5781499426665
2019-12-18 21:44:39,16.005000000000003,-85.95668651835655
2019-12-18 21:44:39,16.17,-84.58296389607551
