time,depth,Sv
2019-10-07 21:35:45,0.0,-77.69774023012064
2019-10-07 21:35:45,0.165,-83.78654614550308
2019-10-07 21:35:45,0.33,-88.7876523379237
2019-10-07 21:35:45,0.49500000000000005,-99.58530660161406
2019-10-07 21:35:45,0.66,-101.75793620718258
2019-10-07 21:35:45,0.8250000000000001,-101.64147199521688
2019-10-07 21:35:45,0.9900000000000001,-101.11233135160558
2019-10-07 21:35:45,1.155,-100.45458247883047
2019-10-07 21:35:45,1.32,-100.37033415395689
2019-10-07 21:35:45,1.485,-99.10206887594079
2019-10-07 21:35:45,1.6500000000000001,-98.77271653806993
2019-10-07 21:35:45,1.8150000000000002,-98.2823794946253
2019-10-07 21:35:45,1.9800000000000002,-97.65376895745833
2019-10-07 21:35:45,2.145,-96.98506111063287
2019-10-07 21:35:45,2.31,-96.3830662888803
2019-10-07 21:35:45,2.475,-95.01885373630002
2019-10-07 21:35:45,2.64,-95.08470700420729
2019-10-07 21:35:45,2.805,-94.67145943335291
2019-10-07 21:35:45,2.97,-94.39204421884865
2019-10-07 21:35:45,3.1350000000000002,-92.78523388410767
2019-10-07 21:35:45,3.3000000000000003,-93.10070255571567
2019-10-07 21:35:45,3.4650000000000003,-92.79309639880493
2019-10-07 21:35:45,3.6300000000000003,-92.24809091196184
2019-10-07 21:35:45,3.7950000000000004,-91.5108938167713
2019-10-07 21:35:45,3.9600000000000004,-90.7874880885703
2019-10-07 21:35:45,4.125,-91.81255093376149
2019-10-07 21:35:45,4.29,-90.27576748363015
2019-10-07 21:35:45,4.455,-91.16901985989739
2019-10-07 21:35:45,4.62,-90.38521412132451
2019-10-07 21:35:45,4.785,-91.19513808589733
2019-10-07 21:35:45,4.95,-90.34776864379484
2019-10-07 21:35:45,5.115,-89.64457111801883
2019-10-07 21:35:45,5.28,-89.97111123811837
2019-10-07 21:35:45,5.445,-89.09119271210642
2019-10-07 21:35:45,5.61,-90.0821677560482
2019-10-07 21:35:45,5.775,-89.94347430889108
2019-10-07 21:35:45,5.94,-89.64847006967634
2019-10-07 21:35:45,6.105,-89.2775563943107
2019-10-07 21:35:45,6.2700000000000005,-89.09518642037474
2019-10-07 21:35:45,6.4350000000000005,-89.46509361470919
2019-10-07 21:35:45,6.6000000000000005,-89.1519982549786
2019-10-07 21:35:45,6.765000000000001,-87.81995393596364
2019-10-07 21:35:45,6.930000000000001,-89.55200627864477
2019-10-07 21:35:45,7.095000000000001,-88.95704004908941
2019-10-07 21:35:45,7.260000000000001,-87.76041698574262
2019-10-07 21:35:45,7.425000000000001,-87.40962399517443
2019-10-07 21:35:45,7.590000000000001,-87.90405475741929
2019-10-07 21:35:45,7.755000000000001,-88.35682387679613
2019-10-07 21:35:45,7.920000000000001,-88.20206070441807
2019-10-07 21:35:45,8.085,-87.83248685593888
2019-10-07 21:35:45,8.25,-88.11593566125536
2019-10-07 21:35:45,8.415000000000001,-88.03862117490854
2019-10-07 21:35:45,8.58,-87.24046673563032
2019-10-07 21:35:45,8.745000000000001,-87.72750947843691
2019-10-07 21:35:45,8.91,-87.25926761429128
2019-10-07 21:35:45,9.075000000000001,-87.30659654276324
2019-10-07 21:35:45,9.24,-88.13475197255198
2019-10-07 21:35:45,9.405000000000001,-87.64627291340746
2019-10-07 21:35:45,9.57,-86.675991902839
2019-10-07 21:35:45,9.735000000000001,-87.50551869124504
2019-10-07 21:35:45,9.9,-87.38894952410368
2019-10-07 21:35:45,10.065000000000001,-87.37383219181716
2019-10-07 21:35:45,10.23,-87.7031127028059
2019-10-07 21:35:45,10.395000000000001,-88.25836630435865
2019-10-07 21:35:45,10.56,-87.66177023782681
2019-10-07 21:35:45,10.725000000000001,-87.02574495300343
2019-10-07 21:35:45,10.89,-87.08539940756133
2019-10-07 21:35:45,11.055000000000001,-87.44427465511816
2019-10-07 21:35:45,11.22,-87.36872970484737
2019-10-07 21:35:45,11.385000000000002,-88.10677167799825
2019-10-07 21:35:45,11.55,-87.84038669632326
2019-10-07 21:35:45,11.715000000000002,-86.49792862552383
2019-10-07 21:35:45,11.88,-87.09906173780551
2019-10-07 21:35:45,12.045000000000002,-88.74650000061598
2019-10-07 21:35:45,12.21,-86.84725381720347
2019-10-07 21:35:45,12.375000000000002,-87.18509337804008
2019-10-07 21:35:45,12.540000000000001,-87.68341294596952
2019-10-07 21:35:45,12.705000000000002,-87.03271881640795
2019-10-07 21:35:45,12.870000000000001,-88.19676837604077
2019-10-07 21:35:45,13.035,-88.25611902692583
2019-10-07 21:35:45,13.200000000000001,-86.68807111705104
2019-10-07 21:35:45,13.365,-87.75505946403842
2019-10-07 21:35:45,13.530000000000001,-87.58858119747906
2019-10-07 21:35:45,13.695,-87.90526738707695
2019-10-07 21:35:45,13.860000000000001,-87.11735871506049
2019-10-07 21:35:45,14.025,-87.90721189486695
2019-10-07 21:35:45,14.190000000000001,-88.55014339171014
2019-10-07 21:35:45,14.355,-89.67230227618808
2019-10-07 21:35:45,14.520000000000001,-89.63623281135139
2019-10-07 21:35:45,14.685,-89.53954783965253
2019-10-07 21:35:45,14.850000000000001,-88.92626847972763
2019-10-07 21:35:45,15.015,-89.74126990266184
2019-10-07 21:35:45,15.180000000000001,-89.49982795251655
2019-10-07 21:35:45,15.345,-90.09387036571528
2019-10-07 21:35:45,15.510000000000002,-90.4579625981986
2019-10-07 21:35:45,15.675,-91.97665356070311
2019-10-07 21:35:45,15.840000000000002,-93.49380412958602
2019-10-07 21:35:45,16.005000000000003,-92.40044663547592
2019-10-07 21:35:45,16.17,-94.77410865485182
